Image Name: Capture 2	
Slide Name: Slide1.sld	
Capture Date: 10/23/2020	
Capture Time: 17:18:02	
Plane	Time	Elapsed (ms)	PMT 1 (1) Mean 	PMT 1 (1) Min 	PMT 1 (1) Max 	PMT 1 (2) Mean 	PMT 1 (2) Min 	PMT 1 (2) Max 	PMT 1 (3) Mean 	PMT 1 (3) Min 	PMT 1 (3) Max 	PMT 1 (4) Mean 	PMT 1 (4) Min 	PMT 1 (4) Max 	PMT 1 (5) Mean 	PMT 1 (5) Min 	PMT 1 (5) Max 	PMT 2 (1) Mean 	PMT 2 (1) Min 	PMT 2 (1) Max 	PMT 2 (2) Mean 	PMT 2 (2) Min 	PMT 2 (2) Max 	PMT 2 (3) Mean 	PMT 2 (3) Min 	PMT 2 (3) Max 	PMT 2 (4) Mean 	PMT 2 (4) Min 	PMT 2 (4) Max 	PMT 2 (5) Mean 	PMT 2 (5) Min 	PMT 2 (5) Max 	
39	17:18:02	18597	3598.224	308.000	7728.000	4362.263	786.000	8383.000	1645.849	232.000	7768.000	2170.319	170.000	8075.000	1095.771	213.000	4717.000	676.431	3.000	3899.000	827.371	6.000	3936.000	2041.578	0.000	8383.000	2166.233	0.000	7661.000	3863.165	0.000	8383.000	FRAP timelapse timepoint: 40 500 ms 1 repetition all regions power 2 55 (Ph2P RS)	
40	17:18:02	19567	3532.922	506.000	7293.000	4632.043	555.000	8214.000	1692.451	170.000	7859.000	2188.762	232.000	8383.000	1094.536	49.000	4713.000	706.810	8.000	3718.000	974.578	3.000	4241.000	2461.424	0.000	8383.000	1973.201	0.000	8209.000	3824.471	0.000	8383.000	
41	17:18:02	19853	3471.858	590.000	7975.000	4360.625	452.000	8383.000	1678.049	169.000	7581.000	2125.995	116.000	7966.000	1079.483	206.000	5724.000	692.741	0.000	4865.000	983.517	0.000	4655.000	2362.254	0.000	8383.000	1880.362	0.000	8338.000	3711.386	0.000	8383.000	
42	17:18:02	20139	3446.478	513.000	7107.000	4488.690	338.000	8383.000	1666.679	209.000	8054.000	2112.136	167.000	8099.000	1066.726	184.000	4494.000	724.103	6.000	2994.000	858.060	6.000	3977.000	2323.290	0.000	8383.000	1903.319	0.000	7418.000	3722.538	0.000	8383.000	
43	17:18:02	20425	3513.754	634.000	7613.000	4424.556	649.000	8383.000	1659.146	208.000	7236.000	2133.978	224.000	8352.000	1099.942	202.000	4795.000	743.897	4.000	3043.000	827.388	3.000	4278.000	2263.985	0.000	8383.000	1933.803	0.000	7571.000	3815.098	0.000	8383.000	
44	17:18:02	20711	3519.487	470.000	7647.000	4370.052	861.000	8383.000	1682.685	146.000	7908.000	2129.787	106.000	8383.000	1108.834	161.000	4911.000	731.216	0.000	6379.000	885.547	3.000	4593.000	2291.046	0.000	8383.000	2017.371	0.000	8383.000	3899.001	0.000	8383.000	
45	17:18:02	20997	3515.530	652.000	7522.000	4614.897	548.000	8383.000	1684.375	209.000	8277.000	2172.694	184.000	7583.000	1098.092	169.000	4614.000	626.306	2.000	3224.000	892.845	0.000	4746.000	2263.479	0.000	8383.000	1983.519	0.000	7908.000	3819.226	0.000	8383.000	
46	17:18:02	21283	3568.181	285.000	8027.000	4637.953	656.000	8199.000	1638.350	219.000	7576.000	2130.165	157.000	8383.000	1110.305	141.000	4673.000	745.487	3.000	3434.000	878.509	10.000	5010.000	2220.291	0.000	8383.000	2014.971	0.000	8209.000	3853.205	0.000	8383.000	
47	17:18:02	21569	3598.056	249.000	8067.000	4398.547	608.000	7668.000	1636.884	107.000	7798.000	2118.708	159.000	8326.000	1122.739	119.000	5032.000	712.233	7.000	3001.000	932.849	0.000	3914.000	2242.660	0.000	8383.000	2032.309	0.000	8084.000	3877.245	0.000	8383.000	
48	17:18:02	21855	3521.095	528.000	8062.000	4283.983	757.000	8383.000	1651.339	258.000	7868.000	2153.947	166.000	7805.000	1115.571	192.000	4817.000	749.737	0.000	3985.000	991.974	0.000	3869.000	2198.545	0.000	8383.000	1995.610	0.000	7928.000	3900.319	0.000	8383.000	
49	17:18:02	22141	3543.401	411.000	7395.000	4500.358	452.000	8383.000	1651.308	169.000	6911.000	2144.825	146.000	7696.000	1109.994	201.000	5124.000	734.207	6.000	3744.000	961.810	0.000	4347.000	2167.927	0.000	8383.000	2049.386	0.000	8068.000	3972.436	0.000	8383.000	FRAP timelapse timepoint: 50 500 ms 1 repetition all regions power 2 120 (Ph2P RS)	
50	17:18:02	23114	3494.284	771.000	7684.000	4596.690	427.000	8383.000	1685.937	144.000	7519.000	2137.952	127.000	8046.000	1119.886	189.000	4392.000	675.022	0.000	3275.000	917.759	0.000	3704.000	2486.122	0.000	8383.000	1845.551	0.000	8307.000	3897.901	0.000	8383.000	
51	17:18:02	23400	3459.500	432.000	8046.000	4668.901	614.000	8383.000	1673.450	214.000	7949.000	2145.135	94.000	7987.000	1077.854	182.000	4802.000	647.065	0.000	4869.000	954.664	2.000	4126.000	2461.079	0.000	8383.000	1826.618	0.000	7425.000	3742.906	0.000	8383.000	
52	17:18:02	23686	3473.724	279.000	7564.000	4564.267	529.000	8316.000	1653.743	186.000	6693.000	2133.272	57.000	7690.000	1103.185	175.000	4787.000	763.457	0.000	4028.000	922.241	2.000	4395.000	2362.437	0.000	8383.000	1902.129	0.000	7601.000	3779.565	0.000	8383.000	
53	17:18:02	23973	3517.069	372.000	7526.000	4545.629	756.000	8383.000	1601.448	162.000	6740.000	2114.652	207.000	7801.000	1096.145	186.000	4688.000	634.961	4.000	3856.000	828.392	1.000	4303.000	2256.327	0.000	8383.000	1856.996	0.000	8142.000	3787.452	0.000	8383.000	
54	17:18:02	24258	3547.504	258.000	7704.000	4429.625	815.000	8383.000	1644.276	193.000	7765.000	2128.015	31.000	8113.000	1099.361	179.000	4809.000	761.267	3.000	4424.000	926.578	1.000	3923.000	2241.465	0.000	8383.000	1930.028	0.000	7804.000	3903.625	0.000	8383.000	
55	17:18:02	24544	3599.491	634.000	7878.000	4492.056	667.000	8383.000	1650.432	193.000	7456.000	2142.165	81.000	8383.000	1121.179	235.000	6038.000	716.470	5.000	4443.000	858.668	3.000	4535.000	2296.621	0.000	8383.000	2007.521	0.000	7659.000	3886.753	0.000	8383.000	
56	17:18:02	24830	3595.707	299.000	7432.000	4572.875	312.000	8383.000	1642.213	203.000	7596.000	2136.230	25.000	8383.000	1105.747	179.000	4721.000	699.927	0.000	3882.000	984.655	0.000	5986.000	2204.020	0.000	8383.000	1985.403	0.000	8383.000	3856.127	0.000	8383.000	
57	17:18:02	25117	3556.375	354.000	7629.000	4483.086	944.000	8143.000	1613.674	154.000	7242.000	2130.371	203.000	8259.000	1096.722	210.000	5768.000	608.672	2.000	3058.000	937.228	7.000	3470.000	2112.905	0.000	8383.000	1981.252	0.000	7371.000	3900.244	0.000	8383.000	
58	17:18:02	25402	3532.716	609.000	7566.000	4599.810	307.000	8383.000	1627.715	242.000	8375.000	2127.444	194.000	8255.000	1110.366	160.000	5418.000	714.190	7.000	3730.000	909.677	2.000	3922.000	2178.983	0.000	8383.000	1881.724	0.000	7330.000	3875.917	0.000	8383.000	
59	17:18:02	25688	3523.004	907.000	7797.000	4590.302	416.000	8383.000	1647.310	136.000	8283.000	2144.217	46.000	7908.000	1122.994	193.000	5034.000	713.384	0.000	2613.000	992.384	0.000	4088.000	2118.161	0.000	8383.000	2023.180	0.000	7712.000	3950.905	0.000	8383.000	FRAP timelapse timepoint: 60 500 ms 1 repetition all regions power 2 140 (Ph2P RS)	
60	17:18:02	26656	3515.246	519.000	7534.000	4418.224	737.000	8383.000	1670.144	237.000	7424.000	2138.825	141.000	8088.000	1084.920	145.000	4858.000	697.069	2.000	3080.000	910.151	0.000	4483.000	2326.700	0.000	8383.000	1886.366	0.000	6946.000	3830.355	0.000	8383.000	
61	17:18:02	26941	3601.966	627.000	7479.000	4496.884	855.000	8316.000	1653.048	215.000	7794.000	2175.179	273.000	8383.000	1069.692	229.000	5035.000	718.254	0.000	2928.000	829.297	0.000	5352.000	2301.118	0.000	8383.000	1801.810	0.000	7796.000	3730.995	0.000	8383.000	
62	17:18:02	27227	3565.172	389.000	7786.000	4546.922	636.000	8383.000	1650.098	156.000	7983.000	2117.714	291.000	7861.000	1092.615	135.000	4718.000	729.832	0.000	3805.000	907.772	1.000	3680.000	2198.223	0.000	8383.000	1866.257	0.000	7991.000	3789.639	0.000	8383.000	
63	17:18:02	27512	3561.996	495.000	7614.000	4455.603	620.000	8383.000	1598.209	182.000	8126.000	2164.282	129.000	8172.000	1097.186	199.000	4522.000	715.526	4.000	3316.000	886.371	10.000	6120.000	2208.853	0.000	8383.000	1980.157	0.000	8383.000	3864.330	0.000	8383.000	
64	17:18:02	27798	3454.716	338.000	7823.000	4521.405	769.000	8383.000	1624.097	110.000	7852.000	2152.864	141.000	8204.000	1118.403	170.000	5293.000	740.599	0.000	4101.000	884.190	0.000	4105.000	2163.983	0.000	8383.000	1958.983	0.000	8383.000	3924.456	0.000	8383.000	
65	17:18:02	28084	3424.500	415.000	7951.000	4697.220	802.000	8383.000	1621.176	145.000	8383.000	2153.680	288.000	8383.000	1098.858	167.000	5304.000	703.517	0.000	3710.000	961.237	0.000	3745.000	2126.543	0.000	8383.000	1903.282	0.000	7862.000	3915.184	0.000	8383.000	
66	17:18:02	28370	3540.802	474.000	7031.000	4445.569	264.000	8323.000	1588.920	213.000	7225.000	2179.703	250.000	7829.000	1113.927	214.000	4996.000	695.159	0.000	4602.000	855.539	0.000	3645.000	2139.920	0.000	8365.000	1979.963	0.000	7907.000	3956.624	0.000	8383.000	
67	17:18:02	28654	3480.509	781.000	7145.000	4403.121	766.000	8383.000	1606.183	186.000	7999.000	2136.759	142.000	7562.000	1126.354	116.000	5299.000	618.578	0.000	3580.000	874.491	0.000	3628.000	2082.778	0.000	8383.000	1983.036	0.000	6974.000	3945.357	0.000	8383.000	
68	17:18:02	28940	3501.940	580.000	7900.000	4581.112	772.000	8383.000	1637.559	87.000	7679.000	2160.332	43.000	8383.000	1140.648	153.000	4930.000	726.556	0.000	3471.000	787.155	2.000	3243.000	2138.710	0.000	8383.000	1950.476	0.000	8184.000	3998.282	0.000	8383.000	
69	17:18:02	29226	3612.440	472.000	7408.000	4403.586	647.000	8383.000	1652.327	207.000	7148.000	2138.526	98.000	8334.000	1120.451	190.000	6082.000	712.151	0.000	3334.000	1054.694	0.000	4353.000	2193.560	0.000	8383.000	2036.388	0.000	7610.000	4009.944	0.000	8383.000	
70	17:18:02	29512	3338.560	337.000	8157.000	4463.272	408.000	8383.000	1646.862	109.000	7162.000	2173.585	78.000	8071.000	1113.123	199.000	4612.000	718.461	4.000	3371.000	966.284	0.000	3967.000	2167.479	0.000	8383.000	1990.404	0.000	7240.000	3921.730	0.000	8383.000	
71	17:18:02	29798	3533.078	600.000	8074.000	4533.250	601.000	8383.000	1611.622	167.000	7161.000	2135.436	194.000	8383.000	1111.046	140.000	4553.000	772.858	0.000	4607.000	999.297	0.000	4913.000	2157.239	0.000	8383.000	2030.347	0.000	7152.000	3986.688	0.000	8383.000	
72	17:18:02	30083	3495.039	554.000	7617.000	4422.957	819.000	8383.000	1609.432	253.000	7082.000	2170.269	111.000	8145.000	1130.865	201.000	4687.000	642.819	8.000	2709.000	823.220	9.000	3640.000	2113.195	0.000	8383.000	2133.464	0.000	8383.000	4072.934	1.000	8383.000	
73	17:18:02	30369	3375.250	198.000	8127.000	4677.418	1095.000	8306.000	1634.470	214.000	7249.000	2172.587	208.000	8036.000	1114.160	198.000	4939.000	706.970	0.000	3468.000	923.909	0.000	4720.000	2130.279	0.000	8383.000	2036.039	0.000	8220.000	4011.223	0.000	8383.000	
74	17:18:02	30655	3542.358	331.000	7742.000	4549.142	491.000	8383.000	1617.164	160.000	7035.000	2172.106	145.000	8383.000	1129.738	231.000	4887.000	718.263	0.000	3529.000	975.409	0.000	4224.000	2118.419	0.000	8383.000	2112.276	0.000	8096.000	4005.350	0.000	8383.000	
75	17:18:02	30941	3569.892	517.000	7030.000	4614.302	502.000	8383.000	1608.435	157.000	7996.000	2141.854	144.000	8383.000	1106.908	172.000	5523.000	657.280	1.000	2795.000	911.306	0.000	4130.000	2126.484	0.000	8383.000	2124.264	0.000	8255.000	3935.683	0.000	8383.000	
76	17:18:02	31227	3453.612	475.000	8226.000	4474.935	646.000	8136.000	1613.208	151.000	8383.000	2182.198	146.000	8195.000	1118.331	219.000	5067.000	747.203	0.000	3556.000	897.190	2.000	4247.000	2087.318	0.000	8383.000	2085.374	0.000	7931.000	3947.771	0.000	8383.000	
77	17:18:02	31513	3442.151	477.000	7097.000	4661.647	804.000	8383.000	1629.408	178.000	8088.000	2148.713	228.000	8383.000	1112.289	201.000	4305.000	627.310	0.000	4246.000	965.767	4.000	3992.000	2074.439	0.000	8383.000	2003.561	0.000	7709.000	3976.172	0.000	8383.000	
